Document,Level
"Abstract: A growing body of literature on the 2019 novel coronavirus (SARS-CoV-2) is becoming available, but a synthesis of available data has not been conducted. We performed a scoping review of currently available clinical, epidemiological, laboratory, and chest imaging data related to the SARS-CoV-2 infection. We searched MEDLINE, Cochrane CENTRAL, EMBASE, Scopus and LILACS from 01 January 2019 to 24 February 2020. Study selection, data extraction and risk of bias assessment were performed by two independent reviewers. Qualitative synthesis and meta-analysis were conducted using the clinical and laboratory data, and random-effects models were applied to estimate pooled results. A total of 61 studies were included (59,254 patients). The most common disease-related symptoms were fever (82%, 95% confidence interval (CI) 56%–99%; n = 4410), cough (61%, 95% CI 39%–81%; n = 3985), muscle aches and/or fatigue (36%, 95% CI 18%–55%; n = 3778), dyspnea (26%, 95% CI 12%–41%; n = 3700), headache in 12% (95% CI 4%–23%, n = 3598 patients), sore throat in 10% (95% CI 5%–17%, n = 1387) and gastrointestinal symptoms in 9% (95% CI 3%–17%, n = 1744). Laboratory findings were described in a lower number of patients and revealed lymphopenia (0.93 × 109/L, 95% CI 0.83–1.03 × 109/L, n = 464) and abnormal C-reactive protein (33.72 mg/dL, 95% CI 21.54–45.91 mg/dL; n = 1637). Radiological findings varied, but mostly described ground-glass opacities and consolidation. Data on treatment options were limited. All-cause mortality was 0.3% (95% CI 0.0%–1.0%; n = 53,631). Epidemiological studies showed that mortality was higher in males and elderly patients. The majority of reported clinical symptoms and laboratory findings related to SARS-CoV-2 infection are non-specific. Clinical suspicion, accompanied by a relevant epidemiological history, should be followed by early imaging and virological assay.",Critically-Appraised Topics
"Abstract Introduction The evidence on COVID-19 is being produced at high speed, so it is challenging for decision-makers to keep up. It seems appropriate, then, to put into practice a novel approach able to provide the scien- tific community and other interested parties with quality evidence that is actionable, and rapidly and efficiently produced. Methods and analysis We designed a protocol for multiple parallel systematic reviews and overviews of systematic reviews in line with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses Protocols (PRISMA-P). We will search for primary studies and systematic re- views that answer different questions related to COVID-19 using both a centralized repository (Epistemonikos database) and a manual search in MEDLINE/PubMed, EMBASE, and the Cochrane Central Register of Controlled Trials. We will also search for literature in sev- eral other sources. At least two researchers will independently under- take the selection of studies, data extraction, and assessment of the quality of the included studies. We will synthesize data for each ques- tion using meta-analysis, when possible, and we will prepare Summary of Findings tables according to the GRADE approach. All the evidence will be organized in an open platform (L·OVE - Living OVerview of Evidence) that will be continuously updated using artificial intelligence and a broad network of experts.",Critically-Appraised Topics
"The science around the use of masks by the general public to impede COVID-19 transmission is advancing rapidly. Policymakers need guidance on how masks should be used by the general population to combat the COVID-19 pandemic. Here, we synthesize the relevant literature to inform multiple areas: 1) transmission characteristics of COVID-19, 2) filtering characteristics and efficacy of masks, 3) esti- mated population impacts of widespread community mask use, and 4) sociological considerations for policies concerning mask-wearing. A primary route of transmission of COVID-19 is likely via small res- piratory droplets, and is known to be transmissible from presymp- tomatic and asymptomatic individuals. Reducing disease spread requires two things: first, limit contacts of infected individuals via physical distancing and contact tracing with appropriate quarantine, and second, reduce the transmission probability per contact by wear- ing masks in public, among other measures. The preponderance of evidence indicates that mask wearing reduces the transmissibility per contact by reducing transmission of infected droplets in both laboratory and clinical contexts. Public mask wearing is most effec- tive at stopping spread of the virus when compliance is high. The de- creased transmissibility could substantially reduce the death toll and economic impact while the cost of the intervention is low. Thus we recommend the adoption of public cloth mask wearing, as an effec- tive form of source control, in conjunction with existing hygiene, dis- tancing, and contact tracing strategies. We recommend that public officials and governments strongly encourage the use of widespread face masks in public, including the use of appropriate regulation.",Critically-Appraised Topics
"Abstract Background: The coronavirus disease (COVID-19) has been identified as the cause of an outbreak of respiratory illness in Wuhan, Hubei Province, China beginning in December 2019. As of 31 January 2020, this epidemic had spread to 19 countries with 11 791 confirmed cases, including 213 deaths. The World Health Organization has declared it a Public Health Emergency of International Concern. Methods: A scoping review was conducted following the methodological framework suggested by Arksey and O’Malley. In this scoping review, 65 research articles published before 31 January 2020 were analyzed and discussed to better understand the epidemiology, causes, clinical diagnosis, prevention and control of this virus. The research domains, dates of publication, journal language, authors’ affiliations, and methodological characteristics were included in the analysis. All the findings and statements in this review regarding the outbreak are based on published information as listed in the references. Results: Most of the publications were written using the English language (89.2%). The largest proportion of published articles were related to causes (38.5%) and a majority (67.7%) were published by Chinese scholars. Research articles initially focused on causes, but over time there was an increase of the articles related to prevention and control. Studies thus far have shown that the virus’ origination is in connection to a seafood market in Wuhan, but specific animal associations have not been confirmed. Reported symptoms include fever, cough, fatigue, pneumonia, headache, diarrhea, hemoptysis, and dyspnea. Preventive measures such as masks, hand hygiene practices, avoidance of public contact, case detection, contact tracing, and quarantines have been discussed as ways to reduce transmission. To date, no specific antiviral treatment has proven effective; hence, infected people primarily rely on symptomatic treatment and supportive care.",Critically-Appraised Topics
"Abstract Cases of coronavirus disease 2019 (COVID-19) are escalating rapidly across the globe, with the mortality risk being especially high among those with existing illness and multimorbidity. This study aimed to synthesize evidence for the role and response of palliative care and hospice teams to viral epidemics/pandemics and inform the COVID-19 pandemic response. We conducted a rapid systematic review according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines in five databases. Of 3094 articles identified, 10 were included in this narrative synthesis. Included studies were from West Africa, Taiwan, Hong Kong, Singapore, the U.S., and Italy. All had an observational design. Findings were synthesized using a previously proposed framework according to systems (policies, training and protocols, communication and coordination, and data), staff (deployment, skill mix, and resilience), space (community provision and use of technology), and stuff (medicines and equipment as well as personal protective equipment). We conclude that hospice and palliative services have an essential role in the response to COVID-19 by responding rapidly and flexibly; ensuring protocols for symptom management are available, and training nonspecialists in their use; being involved in triage; considering shifting resources into the community; considering redeploying volunteers to provide psychosocial and bereavement care; facilitating camaraderie among staff and adopting measures to deal with stress; using technology to communicate with patients and carers; and adopting standardized data collection systems to inform operational changes and improve care. J Pain Symptom Manage 2020;60:e31ee40. ! 2020 Published by Elsevier Inc. on behalf of American Academy of Hospice and Palliative Medicine.",Critically-Appraised Topics
"Abstract The COVID-19 outbreak may profoundly impact population mental health because of exposure to substantial psychosocial stress. An increase in incident cases of psychosis may be predicted. Clinical advice on the management of psychosis during the outbreak needs to be based on the best available evidence. We undertook a rapid review of the impact of epidemic and pandemics on psychosis. Fourteen papers met inclusion criteria. Included studies reported incident cases of psychosis in people infected with a virus of a range of 0.9% to 4%. Psychosis diagnosis was associated with viral exposure, treatments used to manage the infection, and psychosocial stress. Clinical management of these patients, where adherence with infection control procedures is paramount, was challenging. Increased vigilance for psychosis symptoms in patients with COVID-19 is warranted. How to support adherence to physical distancing requirements and engagement with services in patients with existing psychosis requires careful consideration.",Critically-Appraised Topics
"Abstract Background Coronavirus disease 2019 (COVID-19) is pandemic and has caused illness to many people worldwide. This review aimed to summarize and analyze the herbal formulae provided by the guidelines for their pattern identifications (PIs) and compositions of herbs to treat patients with COVID-19.  Methods We searched 7 data sources for eligible traditional medicine guidelines up to March 6, 2020 and found a total of 28 traditional medicine guidelines that provide treatment measures for COVID-19.  Results Of the 28 guidelines, there were 26 government-issued Chinese guidelines and 2 Korean guidelines. After standardizing the terminology of the PIs and herbal formulae, there were 8 PIs and 23 herbal formulae for the mild stage, 11 PIs and 31 herbal formulae for the moderate stage, 8 PIs and 21 herbal formulae for the severe stage, and 6 PIs and 23 herbal formulae for the recovery stage in the Chinese guidelines. In the Korean guidelines, there were 4 PIs and 15 herbal formulae for the mild stage, 3 PIs and 3 herbal formulae for the severe stage, and 2 PIs and 2 herbal formulae for the recovery stage. In the frequency analysis of herbs, Glycyrrhizae Radix et Rhizoma, Armeniacae Semen Amarum, Ephedrae Herba, and Gypsum Fibrosum were found to be the herbs with the high frequency of usage in the Chinese guidelines.  Conclusion This review can be used as guidance for the traditional medicine treatment of COVID-19. Clinical evidence is needed in the future to evaluate the efficacy of traditional medicine.",Critically-Appraised Topics
"Abstract Objectives: Transmission of infectious diseases is often prevented by quarantine and isolation of the populations at risk. These approaches restrict the mobility, social interactions, and daily activities of the affected individuals. In recent novel coronavirus disease (COVID-19) pandemic, quarantine and isolation are being adopted in many contexts, which necessitates an evaluation of global evidence on how such measures impact the mental health outcomes among populations. This umbrella review aimed to synthesize the available evidence on mental health outcomes of quarantine and isolation for preventing infectious diseases.  Method: We searched nine major databases and additional sources and included articles if they were systematically conducted reviews, published as peer-reviewed journal articles, and reported mental health outcomes of quarantine or isolation in any population.  Results: Among 1364 citations, only eight reviews met our criteria. Most of the primary studies in those reviews were conducted in high-income nations and in hospital settings. These articles reported a high burden of mental health problems among patients, informal caregivers, and healthcare providers who experienced quarantine or isolation. Prevalent mental health problems among the affected individuals include depression, anxiety, mood disorders, psychological distress, posttraumatic stress disorder, insomnia, fear, stigmatization, low self-esteem, lack of self-control, and other adverse mental health outcomes.  Conclusions: This umbrella review found severe mental health problems among individuals and populations who have undergone quarantine and isolation in different contexts. This evidence necessitates multipronged interventions including policy measures for strengthening mental health services globally and promoting psychosocial wellbeing among high-risk populations.",Critically-Appraised Topics
"ABSTRACT Objectives  There are limited case series reporting the impact on women affected by coronavirus during pregnancy. In women affected by severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS), the case fatality rate appears higher in those affected in pregnancy compared with non‐pregnant women. We conducted a rapid review to guide health policy and management of women affected by COVID‐19 during pregnancy, which was used to develop the Royal College of Obstetricians and Gynaecologists' (RCOG) guidelines on COVID‐19 infection in pregnancy.  Methods  Searches were conducted in PubMed and MedRxiv to identify primary case reports, case series, observational studies and randomized controlled trials describing women affected by coronavirus in pregnancy. Data were extracted from relevant papers. This review has been used to develop guidelines with representatives of the Royal College of Paediatrics and Child Health (RCPCH) and RCOG who provided expert consensus on areas in which data were lacking.  Results  From 9965 search results in PubMed and 600 in MedRxiv, 21 relevant studies, all of which were case reports or case series, were identified. From reports of 32 women to date affected by COVID‐19 in pregnancy, delivering 30 babies (one set of twins, three ongoing pregnancies), seven (22%) were asymptomatic and two (6%) were admitted to the intensive care unit (ICU), one of whom remained on extracorporeal membrane oxygenation. No maternal deaths have been reported to date. Delivery was by Cesarean section in 27 cases and by vaginal delivery in two, and 15 (47%) delivered preterm. There was one stillbirth and one neonatal death. In 25 babies, no cases of vertical transmission were reported; 15 were reported as being tested with reverse transcription polymerase chain reaction after delivery. Case fatality rates for SARS and MERS were 15% and 27%, respectively. SARS was associated with miscarriage or intrauterine death in five cases, and fetal growth restriction was noted in two ongoing pregnancies affected by SARS in the third trimester.  Conclusions  Serious morbidity occurred in 2/32 women with COVID‐19, both of whom required ICU care. Compared with SARS and MERS, COVID‐19 appears less lethal, acknowledging the limited number of cases reported to date and that one woman remains in a critical condition. Preterm delivery affected 47% of women hospitalized with COVID‐19, which may put considerable pressure on neonatal services if the UK's reasonable worst‐case scenario of 80% of the population being affected is realized. Based on this review, RCOG, in consultation with RCPCH, developed guidance for delivery and neonatal care in pregnancies affected by COVID‐19, which recommends that delivery mode be determined primarily by obstetric indication and recommends against routine separation of affected mothers and their babies. We hope that this review will be helpful for maternity and neonatal services planning their response to COVID‐19. © 2020 The Authors. Ultrasound in Obstetrics & Gynecology published by John Wiley & Sons Ltd on behalf of the International Society of Ultrasound in Obstetrics and Gynecology.",Critically-Appraised Topics
"Abstract  Objective The emergence of coronavirus disease 2019 (COVID-19) presents a challenge for neurologists caring for patients with preexisting neurologic conditions hospitalized for COVID-19 or for evaluation of patients who have neurologic complications during COVID-19 infection. We conducted a scoping review of the available literature on COVID-19 to assess the potential effect on neurologists in terms of prevalent comorbidities and incidence of new neurologic events in patients hospitalized with COVID-19.  Methods We searched MEDLINE/PubMed, CINAHL (EBSCO), and Scopus databases for adult patients with preexisting neurologic disease who were diagnosed and hospitalized for COVID-19 or reported incidence of secondary neurologic events following diagnosis of COVID-19. Pooled descriptive statistics of clinical data and comorbidities were examined.  Results Among screened articles, 322 of 4,014 (8.0%) of hospitalized patients diagnosed and treated for COVID-19 had a preexisting neurologic illness. Four retrospective studies demonstrated an increased risk of secondary neurologic complications in hospitalized patients with COVID-19 (incidence of 6%, 20%, and 36.4%, respectively). Inconsistent reporting and limited statistical analysis among these studies did not allow for assessment of comparative outcomes.  Conclusion Emerging literature suggests a daunting clinical relationship between COVID-19 and neurologic illness. Neurologists need to be prepared to reorganize their consultative practices to serve the neurologic needs of patients during this pandemic.",Critically-Appraised Topics
"Abtsract When the first report of COVID-19 appeared in December 2019 from Wuhan, China, the world unknowingly perceived this as another flu-like illness. Many were surprised at the extreme steps that China had subsequently taken to seal Wuhan from the rest of the world. However, by February 2020, the SARS-CoV-2 virus, which causes COVID-19, had spread so quickly across the globe that the World Health Organization officially declared COVID-19 a pandemic. COVID-19 is not the first pandemic the world has seen, so what makes it so unique in Malaysia, is discussed to avoid a future coronacoma.",Critically-Appraised Individual Articles
"Abstract  Objective To review and critically appraise published and preprint reports of models that aim to predict either (i) presence of existing COVID-19 infection, (ii) future complications in individuals already diagnosed with COVID-19, or (iii) models to identify individuals at high risk for COVID-19 in the general population. Design Rapid systematic review and critical appraisal of prediction models for diagnosis or prognosis of COVID-19 infection. Data sources PubMed, EMBASE via Ovid, Arxiv, medRxiv and bioRxiv until 24th March 2020. Study selection Studies that developed or validated a multivariable COVID-19 related prediction model. Two authors independently screened titles, abstracts and full text. Data extraction Data from included studies were extracted independently by at least two authors based on the CHARMS checklist, and risk of bias was assessed using PROBAST. Data were extracted on various domains including the participants, predictors, outcomes, data analysis, and prediction model performance. Results 2696 titles were screened. Of these, 27 studies describing 31 prediction models were included for data extraction and critical appraisal. We identified three models to predict hospital admission from pneumonia and other events (as a proxy for covid-19 pneumonia) in the general population; 18 diagnostic models to detect COVID-19 infection in symptomatic individuals (13 of which were machine learning utilising computed tomography (CT) results); and ten prognostic models for predicting mortality risk, progression to a severe state, or length of hospital stay. Only one of these studies used data on COVID-19 cases outside of China. Most reported predictors of presence of COVID-19 in suspected patients included age, body temperature, and signs and symptoms. Most reported predictors of severe prognosis in infected patients included age, sex, features derived from CT, C-reactive protein, lactic dehydrogenase, and lymphocyte count. Estimated C-index estimates for the prediction models ranged from 0.73 to 0.81 in those for the general population (reported for all 3 general population models), from 0.81 to > 0.99 in those for diagnosis (reported for 13 of the 18 diagnostic models), and from 0.85 to 0.98 in those for prognosis (reported for 6 of the 10 prognostic models). All studies were rated at high risk of bias, mostly because of non-representative selection of control patients, exclusion of patients who had not experienced the event of interest by the end of the study, and poor statistical analysis, including high risk of model overfitting. Reporting quality varied substantially between studies. A description of the study population and intended use of the models was absent in almost all reports, and calibration of predictions was rarely assessed. Conclusion COVID-19 related prediction models are quickly entering the academic literature, to support medical decision making at a time where this is urgently needed. Our review indicates proposed models are poorly reported and at high risk of bias. Thus, their reported performance is likely optimistic and using them to support medical decision making is not advised. We call for immediate sharing of the individual participant data from COVID-19 studies to support collaborative efforts in building more rigorously developed prediction models and validating (evaluating) existing models. The aforementioned predictors identified in multiple included studies could be considered as candidate predictors for new models. We also stress the need to follow methodological guidance when developing and validating prediction models, as unreliable predictions may cause more harm than benefit when used to guide clinical decisions. Finally, studies should adhere to the TRIPOD statement to facilitate validating, appraising, advocating and clinically using the reported models. Systematic review registration protocol: osf.io/ehc47/, registration: osf.io/wy245 ",Critically-Appraised Individual Articles
"ABSTRACT COVID-19 is the most rapidly growing pandemic in modern time, and the need for serological testing is most urgent. Although the diagnostics of acute patients by RT-PCR is both efficient and specific, we are also crucially in need of serological tools for investigating antibody responses and assessing individual and potential herd immunity. We evaluated a commercially available test developed for rapid (within 15 minutes) detection of SARS-CoV-2-specific IgM and IgG by 29 PCR-confirmed COVID-19 cases and 124 negative controls. The results revealed a sensitivity of 69% and 93.1% for IgM and IgG, respectively, based solely on PCR-positivity due to the absence of a serological gold standard. The assay specificities were shown to be 100% for IgM and 99.2% for IgG. This indicates that the test is suitable for assessing previous virus exposure, although negative results may be unreliable during the first weeks after infection. More detailed studies on antibody responses during and post infection are urgently needed.",Critically-Appraised Individual Articles
"Abstract Objective To review and critically appraise published and preprint reports of prediction models for diagnosing coronavirus disease 2019 (covid-19) in patients with suspected infection, for prognosis of patients with covid-19, and for detecting people in the general population at increased risk of becoming infected with covid-19 or being admitted to hospital with the disease.  Design Living systematic review and critical appraisal.  Data sources PubMed and Embase through Ovid, Arxiv, medRxiv, and bioRxiv up to 7 April 2020.  Study selection Studies that developed or validated a multivariable covid-19 related prediction model.  Data extraction At least two authors independently extracted data using the CHARMS (critical appraisal and data extraction for systematic reviews of prediction modelling studies) checklist; risk of bias was assessed using PROBAST (prediction model risk of bias assessment tool).  Results 4909 titles were screened, and 51 studies describing 66 prediction models were included. The review identified three models for predicting hospital admission from pneumonia and other events (as proxy outcomes for covid-19 pneumonia) in the general population; 47 diagnostic models for detecting covid-19 (34 were based on medical imaging); and 16 prognostic models for predicting mortality risk, progression to severe disease, or length of hospital stay. The most frequently reported predictors of presence of covid-19 included age, body temperature, signs and symptoms, sex, blood pressure, and creatinine. The most frequently reported predictors of severe prognosis in patients with covid-19 included age and features derived from computed tomography scans. C index estimates ranged from 0.73 to 0.81 in prediction models for the general population, from 0.65 to more than 0.99 in diagnostic models, and from 0.85 to 0.99 in prognostic models. All models were rated at high or unclear risk of bias, mostly because of non-representative selection of control patients, exclusion of patients who had not experienced the event of interest by the end of the study, high risk of model overfitting, and vague reporting. Most reports did not include any description of the study population or intended use of the models, and calibration of the model predictions was rarely assessed.  Conclusion Prediction models for covid-19 are quickly entering the academic literature to support medical decision making at a time when they are urgently needed. This review indicates that proposed models are poorly reported, at high risk of bias, and their reported performance is probably optimistic. Hence, we do not recommend any of these reported prediction models to be used in current practice. Immediate sharing of well documented individual participant data from covid-19 studies and collaboration are urgently needed to develop more rigorous prediction models, and validate promising ones. The predictors identified in included models should be considered as candidate predictors for new models. Methodological guidance should be followed because unreliable predictions could cause more harm than benefit in guiding clinical decisions. Finally, studies should adhere to the TRIPOD (transparent reporting of a multivariable prediction model for individual prognosis or diagnosis) reporting guideline.",Critically-Appraised Individual Articles
"Hydroxychloroquine (HCQ) has sparked much interest in the therapeutics of the Coronavirus Disease 2019 (COVID-19) pandemic. Its antiviral properties have been studied for years; regarding the Severe Acute Respiratory Syndrome-Corona Virus-2 (SARS-CoV-2), it has been shown that HCQ may act at multiple levels. These extend from the initial attachment of the virus to the respiratory epithelium to the inhibition of its replication by the alkalinisation of the phagolysosome’s microenvironment and the post-translational modification of certain viral proteins. Preliminary clinical evidence from China and France showed significant virological and clinical benefit in HCQ-treated patients, while other studies, mostly including critically ill patients, did not show favorable results. In this review, we critically appraise the existing evidence on HCQ against SARS-CoV-2 with particular emphasis on its protective and therapeutic role. Safety concerns that are relevant to the short-term HCQ use are also discussed. In the context of the rapid evolution of the COVID-19 pandemic that strains the health care systems worldwide and considering limited population-wide testing rates in most of the vulnerable countries, early empiric short-term administration of HCQ in symptomatic individuals, may be a promising, safe and low-cost strategy.",Critically-Appraised Individual Articles
"1 Goals of the Guidelines In response to the World Health Organization (WHO) statements and international concerns regarding the coronavirus disease 2019 (COVID‐19) outbreak, FIGO has issued the following guidance for the management of pregnant women at the four main settings of pregnancy: (1) ambulatory antenatal care in the outpatient clinics; (2) management in the setting of the obstetrical triage; (3) intrapartum management; and (4) postpartum management and neonatal care. We also provide guidance on the medical treatment of pregnant women with COVID‐19 infection.  The recommendations included in the current document should be viewed as suggestions and may need to be adjusted within each medical center based on the local national guidance (when available), needs, resources, and limitations. Furthermore, this statement is not intended to replace previously published interim guidance on evaluation and management of COVID‐19‐exposed pregnant women.",Critically-Appraised Individual Articles
"Abstract Objective  To study chest CT images and clinical characteristics of COVID ‐19 pneumonia in pregnant patients to examine any correlation.  Methods  Between December 31, 2019 and March 7, 2020, 23 hospitalized pregnant patients with confirmed COVID ‐19 were enrolled in the study. Clinical presentations were collected retrospectively from records, including laboratory testing, chest CT imaging, and symptoms. Descriptive analysis and correlation of patients’ clinical and CT characteristics were performed. Laboratory results from time of first admission and CT absorption (defined as reduction in lesion area, decrease in density, and absorption of some solid components) were compared between symptomatic and asymptomatic patients.  Results  Fifteen (65.2%) patients were asymptomatic with patchy ground‐glass opacity in a single lung lobe. Eight (34.8%) patients were symptomatic with multiple patchy ground‐glass shadows, consolidation, and fibrous stripes. Differences in lymphocyte percentage and neutrophil granulocyte rate between first admission and CT absorption were significant (P <0.001). Median absorption time was shorter in the asymptomatic group compared with the symptomatic group (5 vs 10 days; P <0.001). Median hospitalization time between asymptomatic and symptomatic patients was 14 vs 25.5 days; P >0.001. Median absorption time and length of hospitalization for all patients was 6 days (IQR 5–8) and 17 days (IQR 13–25), respectively.  Conclusion  Radiological findings and clinical characteristics in pregnant women with COVID ‐19 were similar to those of non‐pregnant women with COVID ‐19. Median absorption time and length of hospitalization in asymptomatic patients were significantly shorter than in symptomatic patients. Lymphocyte percentage and neutrophil granulocyte rate may be used as laboratory indicators of CT absorption.",Critically-Appraised Individual Articles
"Abstract Importance  The rapidly expanding novel coronavirus disease 2019 (COVID-19) pandemic, caused by severe acute respiratory syndrome coronavirus 2, has challenged the medical community to an unprecedented degree. Physicians and health care workers are at added risk of exposure and infection during the course of patient care. Because of the rapid spread of this disease through respiratory droplets, health care workers who come in close contact with the upper aerodigestive tract during diagnostic and therapeutic procedures, such as otolaryngologists–head and neck surgeons, are particularly at risk. A set of safety recommendations was created based on a review of the literature and communications with physicians with firsthand knowledge of safety procedures during the COVID-19 pandemic.  Observations  A high number of health care workers were infected during the first phase of the pandemic in the city of Wuhan, China. Subsequently, by adopting strict safety precautions, other regions were able to achieve high levels of safety for health care workers without jeopardizing the care of patients. The most common procedures related to the examination and treatment of upper aerodigestive tract diseases were reviewed. Each category was reviewed based on the potential risk imposed to health care workers. Specific recommendations were made based on the literature, when available, or consensus best practices. Specific safety recommendations were made for performing tracheostomy in patients with COVID-19.  Conclusions and Relevance  Preserving a highly skilled health care workforce is a top priority for any community and health care system. Based on the experience of health care systems in Asia and Europe, by following strict safety guidelines, the risk of exposure and infection of health care workers could be greatly reduced while providing high levels of care. The provided recommendations, which may evolve over time, could be used as broad guidance for all health care workers who are involved in the care of patients with COVID-19.",Critically-Appraised Individual Articles
"Infection Control and Testing 1. For health care workers performing aerosol-generating procedures (eg, endotracheal intubation, nebulized treatments, open suctioning) use of fitted respirator masks is recommended (N95 respirators, FFP2), instead of surgical masks, in addition to other personal protective equipment (PPE) (best practice statement). 2. Forusualcareofnonventilatedpatients,orforperformingnon–aerosol- generating procedures on patients receiving mechanical ventilation, use of medical masks is recommended, instead of respirator masks, in addition to other PPE (weak recommendation, low-quality evidence [LQE]). 3. Diagnosticlowerrespiratorytractsamples(endotrachealaspirates)are preferred over bronchial washings, bronchoalveolar lavage, and upper respiratory tract (nasopharyngeal or oropharyngeal) samples (weak recommendation, LQE). Hemodynamic Support 1. For acute resuscitation of adults with shock, the following are suggested: measuring dynamic parameters to assess fluid responsiveness (weak recommendation, LQE), using a conservative fluid administration strategy (weak recommendation, very LQE), and using crystalloids over colloids (strong recommendation; moderate QE). Balanced crystalloids are preferred over unbalanced crystalloids (weak recommendation, moderate QE). 2. Foradultswithshock,thefollowingaresuggested:usingnorepinephrine as the first-line vasoactive (weak recommendation, LQE), use of either vasopressin or epinephrine as the first line if norepinephrine is not available (weak recommendation, LQE). Dopamine is not recommended if norepinephrine is not available (strong recommendation, high QE). Adding vasopressin as a second-line agent is suggested if the target (60-65 mm Hg) mean arterial pressure cannot be achieved by norepinephrine alone (weak recommendation, moderate QE). Ventilatory Support 1. Starting supplemental oxygen is recommended if the SpO2 is less than 90% (strong recommendation, moderate QE). SpO2 should be maintained no higher than 96% (strong recommendation, moderate QE). 2. For acute hypoxemic respiratory failure despite conventional oxygen therapy, use of high-flow nasal cannula (HFNC) is suggested relative to conventional oxygen therapy and noninvasive positive pressure ventilation (NIPPV) (weak recommendation, LQE). If HFNC is not avail- able, a trial of NIPPV is suggested (weak recommendation, very LQE). Close monitoring for worsening of respiratory status and early intubation if worsening occurs is recommended (best practice statement). 3. Foradultsreceivingmechanicalventilationwhohaveacuterespiratory distress syndrome (ARDS), use of low tidal volume ventilation (4-8 mL/kg of predicted body weight) is recommended and preferred over higher tidal volumes (>8 mL/kg) (strong recommendation, moderate QE). Targeting plateau pressures of <30 cm H2O (strong recommendation, moderate QE) is recommended. Using a higher positive end-expiratory pressure (PEEP) strategy over lower PEEP strategy is suggested (weak recommendation, LQE). 4. Foradultsreceivingmechanicalventilationwhohavemoderatetosevere ARDS, prone ventilation for 12 to 16 hours is suggested over no prone venti- lation (weak recommendation, LQE). Using as-needed neuromuscular blocking agents (NMBAs) instead of continuous NMBA infusion to facilitate protective lung ventilation is suggested (weak recommendation, LQE). 5. ForadultsreceivingmechanicalventilationwhohavesevereARDSand hypoxemia despite optimizing ventilation, a trial of inhaled pulmonary vasodilator is suggested. If no rapid improvement in oxygenation is observed, the treatment should be tapered (weak recommendation, very LQE). The use of lung recruitment maneuvers (intended to open otherwise closed lung segments, such as 40 cm H2O inspiratory hold for 40 seconds) is suggested, over not using recruitment maneuvers (weak recommendation, LQE), but using staircase (incremental PEEP) recruit- ment maneuvers is not recommended (strong recommendation, moder- ate QE). Use of veno-venous circulation for extracorporeal membrane oxygenation (ECMO) or referral to an ECMO center is suggested, if avail- able, for selected patients (weak recommendation, LQE). Therapy 1. In adults receiving mechanical ventilation who do not have ARDS, routine use of systematic corticosteroids is suggested against (weak recommendation, LQE). In those with ARDS, use of corticosteroids is suggested (weak recommendation, LQE). 2. InCOVID-19patientsreceivingmechanicalventilationwhohaverespira- tory failure, use of empiric antimicrobial/antibacterial agents is sug- gested (no evidence rating); assess for deescalation. 3. Incriticallyilladultswithfever,useofpharmacologicagentsfortempera- ture control is suggested over nonpharmacologic agents or no treatment. Routine use of standard IV immunoglobulins is not suggested. Convales- cent plasma is not suggested. There is insufficient evidence to issue a recommendation on use of any of the following: antiviral agents, recombi- nant interferons, chloroquine/hydroxychloroquine, or tocilizumab.",Critically-Appraised Individual Articles
"Abstract Importance  The pandemic of coronavirus disease 2019 (COVID-19) caused by the novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) presents an unprecedented challenge to identify effective drugs for prevention and treatment. Given the rapid pace of scientific discovery and clinical data generated by the large number of people rapidly infected by SARS-CoV-2, clinicians need accurate evidence regarding effective medical treatments for this infection.  Observations  No proven effective therapies for this virus currently exist. The rapidly expanding knowledge regarding SARS-CoV-2 virology provides a significant number of potential drug targets. The most promising therapy is remdesivir. Remdesivir has potent in vitro activity against SARS-CoV-2, but it is not US Food and Drug Administration approved and currently is being tested in ongoing randomized trials. Oseltamivir has not been shown to have efficacy, and corticosteroids are currently not recommended. Current clinical evidence does not support stopping angiotensin-converting enzyme inhibitors or angiotensin receptor blockers in patients with COVID-19.  Conclusions and Relevance  The COVID-19 pandemic represents the greatest global public health crisis of this generation and, potentially, since the pandemic influenza outbreak of 1918. The speed and volume of clinical trials launched to investigate potential therapies for COVID-19 highlight both the need and capability to produce high-quality evidence even in the middle of a pandemic. No therapies have been shown effective to date.",Critically-Appraised Individual Articles
"The Chinese Center for Disease Control and Prevention recently published the largest case series to date of coronavirus disease 2019 (COVID-19) in mainland China (72 314 cases, updated through February 11, 2020).1 This Viewpoint summarizes key findings from this report and discusses emerging understanding of and lessons from the COVID-19 epidemic.",Critically-Appraised Individual Articles
